# ---------------------------------------------------------------
# Linearity coefficients: A and B where DNtrue = x/(A*x**2 + B*x + 1),
#                         x = raw measured DN
# Extracted from file: "ZTF - CCD Non-linearity 2019-09-27.xlsx"
# Provided by Stephen Kaye (kaye@astro.caltech.edu)
# Last modified: 10/01/2019, by F. Masci
# ---------------------------------------------------------------
#
# CCDID, AMP_NAME, AMP_ID, A, B
#
3	f  2	-1.44E-11	7.19E-07
3	e  3	-1.38E-11	7.20E-07
3	h  0	-1.36E-11	6.38E-07
3	g  1	-1.39E-11	6.93E-07
#
4	f  2	-1.42E-11	7.53E-07
4	e  3	-1.42E-11	7.61E-07
4	h  0	-1.37E-11	6.99E-07
4	g  1	-1.53E-11	8.60E-07
#
7	f  2	-1.48E-11	8.68E-07
7	e  3	-1.34E-11	7.52E-07
7	h  0	-1.43E-11	8.42E-07
7	g  1	-1.58E-11	1.03E-06
#
8	f  2	-1.43E-11	8.73E-07
8	e  3	-1.43E-11	8.93E-07
8	h  0	-1.43E-11	8.39E-07
8	g  1	-1.48E-11	9.60E-07
#
11	f  2	-1.49E-11	7.99E-07
11	e  3	-1.42E-11	7.83E-07
11	h  0	-1.51E-11	8.54E-07
11	g  1	-1.52E-11	8.58E-07
#
12	f  2	-1.35E-11	7.61E-07
12	e  3	-1.40E-11	7.98E-07
12	h  0	-1.45E-11	8.70E-07
12	g  1	-1.35E-11	7.44E-07
#
15	f  2	-1.34E-11	5.97E-07
15	e  3	-1.40E-11	6.81E-07
15	h  0	-1.22E-11	6.36E-07
15	g  1	-1.33E-11	6.98E-07
#
16	f  2	-1.60E-11	9.93E-07
16	e  3	-1.55E-11	8.68E-07
16	h  0	-1.62E-11	9.94E-07
16	g  1	-1.45E-11	8.34E-07
#
1	h  0	-1.34E-11	7.60E-07
1	g  1	-1.35E-11	7.74E-07
1	f  2	-1.22E-11	6.04E-07
1	e  3	-1.35E-11	7.31E-07
#
2	h  0	-1.38E-11	7.64E-07
2	g  1	-1.32E-11	7.02E-07
2	f  2	-1.37E-11	7.22E-07
2	e  3	-1.48E-11	8.12E-07
#
5	h  0	-1.42E-11	9.45E-07
5	g  1	-1.46E-11	9.48E-07
5	f  2	-1.41E-11	8.65E-07
5	e  3	-1.48E-11	8.93E-07
#
6	h  0	-1.46E-11	8.52E-07
6	g  1	-1.49E-11	9.33E-07
6	f  2	-1.38E-11	7.85E-07
6	e  3	-1.37E-11	8.20E-07
#
9	h  0	-1.55E-11	9.66E-07
9	g  1	-1.58E-11	1.02E-06
9	f  2	-1.46E-11	8.55E-07
9	e  3	-1.42E-11	8.19E-07
#
10	h  0	-1.41E-11	8.72E-07
10	g  1	-1.51E-11	9.76E-07
10	f  2	-1.52E-11	9.63E-07
10	e  3	-1.48E-11	8.78E-07
#
13	h  0	-1.43E-11	8.18E-07
13	g  1	-1.51E-11	8.08E-07
13	f  2	-1.53E-11	8.15E-07
13	e  3	-1.60E-11	9.55E-07
#
14	h  0	-1.37E-11	7.25E-07
14	g  1	-1.36E-11	7.26E-07
14	f  2	-1.57E-11	8.60E-07
14	e  3	-1.37E-11	5.92E-07
